LGB	1068	-0.554307116105	31.2261432864	-42	289
LIH	1014	2.98816568047	33.6192879637	-51	270
LIT	1207	8.60397680199	51.4587108545	-55	1016
LMT	51	-5.3137254902	16.6463091358	-30	59
LNK	246	9.97154471545	51.541099147	-30	370
LRD	195	4.81538461538	38.1598208466	-29	223
LSE	83	-4.57831325301	24.9898127936	-42	111
LWS	49	-0.734693877551	16.204134645	-31	45
MAF	694	1.39481268012	42.6108235294	-34	824
MBS	247	0.736842105263	39.3220957526	-39	208
MCI	3976	2.42479879276	37.6080531816	-42	494
MCO	9443	-0.604680715874	32.3299934471	-60	926
MDT	497	2.25352112676	37.4356452187	-45	412
MDW	6497	4.24549792212	27.9017933559	-52	466
MEM	2850	0.37298245614	39.8930498941	-41	804
MFE	350	5.65428571429	43.4009483401	-28	322
MFR	241	10.5726141079	49.7152298619	-39	431
MGM	302	-0.894039735099	38.8296650506	-36	359
MHK	144	4.55555555556	57.3427649856	-44	349
MHT	768	4.38151041667	27.9849376848	-55	211
MIA	7125	0.0593684210526	31.3392798485	-53	933
MKE	2820	2.05957446809	45.168503215	-58	1591
MKG	57	6.89473684211	50.9203454323	-38	288
MLB	121	6.0	36.0566683615	-21	199
MLI	439	6.30296127563	52.2898207733	-38	592
MLU	264	1.53787878788	38.5131265565	-37	301
MMH	86	11.1395348837	27.9095862893	-29	119
MOB	440	6.15227272727	45.5752100054	-31	650
MOD	83	16.6626506024	58.7614601398	-26	319
MOT	202	15.5891089109	40.9103434256	-40	302
MQT	80	3.6875	44.0746184745	-41	200
MRY	467	3.1948608137	38.4343056833	-30	411
MSN	867	7.78546712803	55.4608250406	-41	1056
MSO	226	9.53539823009	39.0863554945	-35	342
MSP	11000	1.01572727273	34.3935580596	-65	704
MSY	3361	-0.369830407617	28.1967012002	-46	347
MTJ	202	9.45544554455	31.4421287091	-41	162
MYR	294	-4.79591836735	28.0574590292	-48	200
OAJ	136	-3.11029411765	27.1251346593	-32	134
OAK	3520	0.275284090909	19.7844612654	-50	372
OGG	1958	3.90398365679	38.8169054098	-55	1017
OKC	1848	0.379329004329	31.4793277048	-45	361
OMA	1652	1.2318401937	37.777907885	-49	786
OME	88	-0.704545454545	26.6993301784	-31	117
ONT	1755	-1.89800569801	25.5925305235	-36	429
ORD	23178	11.8118042972	42.1034641201	-64	842
ORF	1293	1.33488012374	36.5826812476	-42	464
OTH	28	12.4285714286	40.4423948547	-33	125
OTZ	88	-0.681818181818	24.3114586552	-33	105
PAH	60	-4.93333333333	33.5523202192	-41	173
PBI	2140	1.76401869159	37.2782759725	-51	797
PDX	3902	-0.681957970272	26.2237347258	-55	553
PHF	190	5.14210526316	31.1020817247	-28	195
PHL	6615	3.71761148904	36.1090444788	-63	406
PHX	14626	-0.17769725147	24.5802688779	-61	852
PIA	400	7.5225	65.0920650778	-42	886
PIH	79	16.5569620253	46.8915133198	-35	200
PIT	2671	1.97454137027	42.0323500739	-71	913
PLN	45	4.6	36.4662982642	-31	159
PNS	747	0.555555555556	35.8361336894	-31	383
PPG	9	102.333333333	301.517827002	-12	906
PSC	245	-6.25306122449	17.8913284019	-36	141
PSE	76	-8.73684210526	25.2952530045	-37	118
PSG	61	-14.8852459016	18.7101562087	-43	50
PSP	1113	5.15274034142	39.779360386	-45	379
PVD	1139	2.5531167691	35.5355404713	-50	649
PWM	475	10.5157894737	45.9652370842	-42	519
RAP	255	4.31764705882	38.1768197896	-36	263
RDD	94	12.9680851064	41.8629232953	-28	247
RDM	233	2.70386266094	33.4665663402	-49	228
RDU	3823	6.50091551138	49.4692810897	-51	1101
RFD	9	21.3333333333	23.6643191324	2	74
RHI	74	-15.0405405405	26.8279343219	-50	93
RIC	1490	7.13624161074	43.4397705123	-49	601
RKS	176	33.4659090909	78.8838493502	-38	525
RNO	1429	4.9755073478	54.4765139869	-41	1627
ROA	231	7.67532467532	47.8993804694	-29	367
ROC	873	4.71019473081	38.8016846684	-44	295
ROW	86	-2.6511627907	17.112614846	-24	65
RST	149	-0.255033557047	51.6362216208	-33	490
RSW	2766	-3.08785249458	39.5199478179	-50	1054
SAF	81	-2.93827160494	18.4880675565	-26	72
SAN	6057	-1.55902261846	29.95713348	-52	1367
SAT	3290	-1.09240121581	29.6780633809	-64	345
SAV	630	4.46031746032	45.4916353173	-38	523
SBA	906	2.68874172185	31.0639729357	-32	284
SBN	369	8.30894308943	45.6318199336	-43	254
SBP	389	3.13624678663	36.357183486	-30	367
SCC	55	-4.72727272727	14.943665257	-28	46
SCE	55	0.527272727273	55.9341062539	-35	368
SDF	1240	4.32741935484	41.5092497033	-38	534
SEA	7185	0.671816283925	28.8859166032	-55	859
SFO	13015	0.011601997695	27.7853432502	-55	389
SGF	468	10.2670940171	54.640613121	-38	455
SGU	165	5.91515151515	36.530876693	-30	278
SHD	13	-6.76923076923	15.1060354724	-34	18
SHV	570	5.0701754386	40.3716302491	-31	353
SIT	89	4.40449438202	39.782853519	-25	242
SJC	3120	-0.634935897436	20.0955172782	-45	256
SJT	116	-2.29310344828	19.0258484317	-21	95
SJU	2267	-1.86634318483	37.0988071573	-58	612
SLC	8824	11.6752039891	48.38574638	-43	672
SMF	3386	2.02333136444	30.462370699	-40	1117
SMX	105	-6.35238095238	12.344401528	-25	70
SNA	3325	-2.24511278195	25.6296709698	-44	481
SPI	135	6.85185185185	45.8621423103	-32	345
SPS	91	-3.6043956044	18.1014911116	-25	60
SRQ	406	4.16748768473	47.4898978429	-33	492
STL	4633	1.2357004101	31.1262909407	-60	403
STT	373	-8.81501340483	28.1627487855	-55	180
STX	79	-2.88607594937	25.9016816313	-39	111
SUN	98	23.4285714286	62.9034606427	-25	516
SUX	56	23.0714285714	146.577668787	-38	1015
SWF	133	-1.06766917293	28.9895998824	-36	170
SYR	643	7.7433903577	53.962411335	-38	985
TLH	401	-2.73067331671	29.1103466451	-37	266
TPA	5377	-3.47108052818	26.9529867682	-65	373
TRI	195	7.26153846154	40.0285762318	-35	274
TTN	10	15.5	20.5926092459	-5	57
TUL	1548	4.72351421189	35.2151542282	-38	469
TUS	1631	-1.53464132434	25.9421228486	-48	383
TVC	216	16.412037037	56.2497887832	-43	345
TWF	86	9.25581395349	50.5783459936	-34	277
TXK	86	17.7441860465	104.267775863	-29	838
TYR	202	-3.9603960396	35.1566277318	-32	318
TYS	873	9.04810996564	57.3050342364	-37	849
VLD	84	-9.15476190476	18.08780062	-26	112
VPS	410	-0.482926829268	24.5027008385	-36	141
WRG	61	-7.08196721311	14.8607930273	-28	56
XNA	971	9.32955715757	48.6389871803	-49	584
YAK	54	-11.462962963	30.3418964115	-50	130
YUM	248	-2.97177419355	16.1614829784	-35	124
